term,codes_pipe_sep
προκαρδιος δυσφορια,R07
προκαρδιου αλγος,R07
προκαρδιου αλγους,R07
προκαρδιου αλγους με αντανακλαση στη μεσοωμοπλατιαια περιοχη,R07
προκαρδιου αλγους οπισθοστερνικα,R07
προκαρδιου αλγους στην κοπωση,R07
προκαρδιου αλγους συσφιγκτικου χαρακτηρα,R07
προκαρδιου δυσφοριας,R07
προκαρδιου καυσους,R07
προκαρδιου καυστικου αλγους,R07
προκαρδιου συσφιγκτικου αλγους,R07
προκαρδιου συσφικτικου αλγους,R07
προκαρδιου συσφκιγκτικου αλγους,R07
προκαριο αλγους,R07
προλιποθυμικο επεισοδιο,R42|R55
προλιποθυμικου επεισοδιου,R55
προλιποθυμικων επεισοδιων,R55
προνεφρικης αιτιολογιας οξεια νεφρικη ανεπαρκεια,N17
προσθετικη αορτικη βαλβιδα,Z95
προσθετικη αορτικη βαλβιδα βιολογικη,Z95
προσθετικη βαλβιδα,Z95
προσθετικη βαλβιδα στην θεση της μιτροειδους,Z95
προσθετικη βιολογικη αορτικη βαλβιδα,Z95
προσθετικη μιτροειδης βαλβιδα μεταλλικη,Z95
προσθιο stemi,I21
προσθιο stemi πρωτογενης pci lad 6 2018,I25
προσθιο εμφραγμα του μυοκαρδιου,I21
προσθιο οεμ,I21
προσθιου εμ,I21
προσθιου εμφραγματος,I21
προσθιου θρομβολυμενου οεμ,I21
προσθιου θωρακικου αλγους,R07
προσθιου οεμ,I21
προσυγκοπικο επεισοδιο,R55
προσφατο nstemi,I25
προσφατο εμφραγμα,I21|I22
προσφστο stemi προσθιου τοιχωματος,I22
προσωρινη βηματοδοτηση,Z95
προσωρινη βηματοδοτητση,Z95
προσωρινο βηματοδοτη,Z95
προσωρινος βηματοδοτης,Z95
προσωρινος διαδερμικος βηματοδοτης,Z95
προσωρινος διαφλεβιος βηματοδοτης,Z95
προσωρινου βηματοδοτη,Z95
προχωρημενη καρδιακη ανεπαρκεια απορρυθμιση hfref,I50
πρωτογενη αγγειοπλαστικη,Z95
πρωτογενης αγγειοπλαστικη,Z95
πρωτογενης αγγειοπλαστικη στην rca,Z95
πρωτογενης αγγειοπλαστικη στον lad,Z95
πρωτογενους αγγειοπλαστικης,Z95
πρωτοδιαγνωσθεισα αναιμια,D50-D64
πρωτοδιαγνωσθεισα κα με επηρεασμενο κε,I50
πρωτοδιαγνωσθεισας αναιμιας,D50-D64
πρωτοεμφανιζομενη κμ,I48
πρωτου βαθμου κολποκοιλιακος αποκλεισμος,I44
πτερυγισμου,I48
πτερυγισμου και κολπικης μαρμαρυγης,I48
πτωση εξ ιδιου υψους,R55
πτωση επιπεδου συνειδησης,R40|R41
πτωση στο εδαφος εξ ιδιου υψους,R55
πτωσης εξ ιδιου υψους,R55
πτωσης επιπεδου συνειδησης,R41
πτωσης της αρτηριακης πιεσεως,I95
πυρετικα κυματα,R50
πυρετικη κινηση,R50
πυρετικο κυμα,R50
πυρετικων κυματων,R50
πυρετος,R50
ραχιαλγια,M54
ραχιαλγιας,M54
ρβββ,I45
ρευματικη βαλβιδοπαθεια,I08
ρευματικη εμφανιση μιτροειδους με doming γλωχινων και ευρηματα ηπιας στενωσης mva 2 1 cm2 και μετριας ανεπαρκειας,I05
ρευματικη μεικτη βλαβη μιτροειδους,I05
ρευματικη πολυμυαλγια,M30-M36
ρευματικος πυρετος,I08
ρευματοειδης αρθριτιδα,M05
ρτηριακη υπερταση,I10
ρυθμιση βηματοδοτη,Z46
σ δ,E11
σ ν,I25
σ νοσος,I25
σ σ,I25
σ.ν,I25
σ.νοσο 2 αγγειων,I25
σ.νοσος,I25
σακχαρ. διαβητης,E11
σακχαρο,E11
σακχαρου,E11
σακχαρωδη διαβητη,E11
σακχαρωδης διαβητη,E11
σακχαρωδης διαβητης,E11
σακχαρωδης διαβητης 2,E11
σακχαρωδης διαβητης ιι,E11
σακχαρωδης διαβητης τ. ιι,E11
σακχαρωδης διαβητης τυπου 1,E10
σακχαρωδης διαβητης τυπου 2,E11
σακχαρωδης διαβητης τυπου ι,E10
σακχαρωδης διαβητης τυπου ιι,E11
σακχαρωδης διαβητης τυπουιι,E11
σακχαρωδης διαβητης υπο δισκια,E11
σακχαρωδους διαβητη,E10
σαρκοειδωση,M35
σαρκωμα kaposi κατω ακρων,C00-C97
σδ,E11
σδ 2,E11
σδ ι,E10
σδ ιι,E11
σδ τυπου ι,E10
σδ υπο δισκια,E11
σδ υπο ινσουλινη,E11
σδ2,E11
σδιι,E11
σδτ ιι,E11
σδτ2,E11
σδτιι,E11
σελ,M32
σιδηροπενικη αναιμια,D50-D64
σκληροδερμα,M34
σμ,I25
σν,I25
σν 1 αγγειου,I25
σν 2 αγγειων,I25
σν 3 αγγειων,I25
σν pci 20,I25
σοβαρα οιδηματα κατω ακρων,R60
σοβαρη aos,I35
σοβαρη aos με μικρη ar,I35
σοβαρη as,I35
σοβαρη mr,I34
σοβαρη tr,I07
σοβαρη ανεπαρκεια μιτροειδους,I34
σοβαρη ανεπαρκεια τριγλωχινας,I07
σοβαρη αορτικη στενωση,I35
σοβαρη νοσος lad,I25
σοβαρη στενωση aov,I35
σοβαρη στενωση mv,I05
σοβαρη στενωση αορτικης,I35
σοβαρη στενωση αορτικης βαλβιδας,I35
σοβαρη στενωση αορτικης βαλβιδος,I35
σοβαρη στεφανιαια νοσος,I25
σοβαρης as,I35
σοβαρης στενωσεως αορτικης βαλβιδος,I35
σοβαρλη ανεπαρκεια μιτροειδους,I34
σοβαρου βαθμου ανεπαρκεια μιτροειδους,I34
σοβαρου βαθμου αορτικη στενωση,I35
σοβαρου βαθμου στενωση aov,I35
σοβαρου βαθμου στενωση αορτικης,I35
σοβαρου βαθμου στενωση αορτικης βαλβιδας,I35
σταθερη στεφανιαια νοσος,I25
σταφανιογραφιας,Z95
σταφανιογραφικος ελεγχος,Y84
στεαφανιαια νοσος στελεχους και 3 αγγειω,I25
στενωση 80,I25
στενωση aov,I35
στενωση aov ava 0 8 cm 2 . ηπια ar,I35
στενωση av,I35
στενωση lad,Z95
στενωση mv,I05
στενωση αοv,I35
στενωση αορτικης,I35
στενωση αορτικης βαλβιδα,I35
στενωση αορτικης βαλβιδας,I35
στενωση αορτικης βαλβιδας και μετρια ανεπαρκεια αυτης,I35
στενωση αορτικης βαλβιδας και μετριου βαθμου ανεπαρκεια αυτης,I35
στενωση αορτικης βαλβιδας σοβαρου βαθμου,I35
στενωση αορτικης βαλβιδος,I35
στενωση αορτικης. μετριου βαθμου,I35
στενωση καρωτιδων,I65
στενωση κοινης καρωτιδας,I65
στενωση μιτροειδους,I05
στενωση μιτροειδους βαλβιδας,I05
στενωση πνευμονικης αρτηριας,I37
στενωση στην δεξια στεφανιαια αρτηρια,I25
στενωση στο lad,Z95
στενωση στον lad,I25
στενωση της αορτικης βαλβιδας,I35
στενωσης aov,I35
στενωσης αορτικης,I35
στενωσης αορτικης βαλβιδας,I35
στενωσης αορτικης βαλβιδος,I35
στερνικο αλγος,R07
στεφ φια,Y84
στεφ φιας,Y84
στεφ. νοσος 3 αγγειων,I25
στεφανιαια αγγειογραφια,Y84
στεφανιαια αγγειογραφια αγγειοπλαστικη,Z95
στεφανιαια μοναδα,I25
στεφανιαια νοσο,I25
στεφανιαια νοσο 2 αγγειων και κλαδων,I25
στεφανιαια νοσο 3 αγγειων,I25
στεφανιαια νοσο δυο αγγειων,I25
στεφανιαια νοσο τριων αγγειων,I25
στεφανιαια νοσος,I25
στεφανιαια νοσος 1 αγγειου,I25
στεφανιαια νοσος 1αγγειου,I25
στεφανιαια νοσος 2 αγγειων,I25
στεφανιαια νοσος 3 αγγειων,I25
στεφανιαια νοσος δυο αγγειων,I25
στεφανιαια νοσος ενος αγγειου,I25
στεφανιαια νοσος στελεχους,I25
στεφανιαια νοσος τριων αγγειω,I25
στεφανιαια νοσος τριων αγγειων,I25
στεφανιαια νοσος.,I25
στεφανιαια νοσου,I25
στεφανιαιας αγγειογραφιας,Z95
στεφανιαιας νοσου,I25
στεφανιαιας νοσου τριων αγγειων,I25
στεφανιαιο stent,I25|Z95
στεφανιαιογραφιας,Z95
στεφανιογραγικο ελεγχο,Y84
στεφανιογραγικος ελεγχος,Y84
στεφανιογραφι,Z95
στεφανιογραφια,Y84
στεφανιογραφια αγγειοπλαστικη,Z95
στεφανιογραφια με φυσιολογικα αγγεια,Y84
στεφανιογραφιας,Y84
στεφανιογραφικο,Z95
στεφανιογραφικο ελεγχ,Y84
στεφανιογραφικο ελεγχο,Y84
στεφανιογραφικο ελεγχος,Y84
στεφανιογραφικος ελεγχος,Y84
στεφανιογραφικου ελεγχου,Y84
στεφανιοραφικο ελεγχο,Y84
στεφανιοφραφικος ελεγχος,Y84
στεφσνιαια νοσος,I25
στηθαγχη,I20
στηθαγχη κοπωσης,I20
στηθαγχη προσπαθειας,I20
στηθαγχης,I20
στηθαγχης στην ελαχιστη κοπωση,I20
στηθαγχικα ενοχληματα,I20|R07
στηθαγχικα επεισοδια,I20
στηθαγχικου αλγους,I20
στηθαγχικων ενοχληματων,R07
στηθαγχικων επεισοδιων,I20
στηθαχγη,I20
στορικο αγγειοπλαστικων,Z95
συγγενης καρδιοπαθεια,Q24
συγγενης καρδιοπαθεια κολποκοιλιακη επικοινωνια,Q24
συγγενους καρδιοπαθειας,Q24
συγκοπες,R55
συγκοπη,R55
συγκοπικα επεισοδια,R55
συγκοπικο επεισοδιο,R55
συγκοπικου επεισοδιου,R55
συγκοπτικα επεισοδια,R55
συγκοπτικο,R55
συγκοπτικο επεισοδιο,R55
συγκοπτικου επεισοδιου,R55
συγκοπτικων επεισοδιων,R55
συμπτωματα στηθαγχικου χαρακτηρα,R07
συμφορητικη καρδιακη ανεπαρκεια,I50
συμφορητικης κα,I50
συμφορητικης καρδιακης ανεπαρκειας,I50
συνδρομο sjogren,M35
συνδρομο takotsubo,I43
συνδρομο ταχυκαρδιας βραδυκαρδιας,I49
συνεδρια αιμοκαθαρσης,Z99
συνεδρια τεχνητου νεφρου,Z99
συνεδριες αιμοκαθαρσης,Z99
συνεδριες τ ν,Z99
συνεδριες τεχνητου νεφρου,Z99
συνεδριες τν,Z99
συνοδη ζαλη,R42
συσκευης υποβοηθησης lvad,Z95
συστηματικος ερυθηματωδης λυκος,M32
συστολικη κα,I50
συστολικη καρδιακη ανεπαρκεια,I50
συσφιγκτικο αλγος,R07
συσφιγκτικο αλγος στην προκαρδια χωρα,R07
συσφιγκτικο προκαρδιο αλγος,R07
συσφιγκτικου αλγου,R07
συσφιγκτικου αλγους οπισθοστερνικα,R07
συσφιγκτικου αλγους στο στερνο,R07
συσφιγκτικου οπισθοστερνικου αλγους,R07
συσφικτικο αισθημα,R07
συσφικτικο αισθημα στην προκαρδιο χωρα,R07
συσφικτικο αλγος δυσφορια,R07
συσφικτικου αλγους αριστερου ημιθωρακιου,R07
συσφικτικου αλγους στο αριστερο ημιθωρακιο,R07
συσφικτικου θωρακικου αλγους,R07
συσφικτικου και νυγμωδους θωρακικου αλγους,R07
συσφικτικου προκαρδιου αλγους,R07
συχνες πολυεστιακες εκς,I49
σχαιμικη μυοκαρδιοπαθεια,I25
τr,I07
ταση προς εμετο,R11
ταση προς εμετο και ζαλη,R11
τασης προς εμμετο,R11
ταχεια κμ,I48
ταχεια κολπικη μαρμαρυγη,I48
ταχειας κμ,I48
ταχειας κολπικης μαρμαρυγης,I48
ταχυαρρυθμιας,R00
ταχυκαρδια,R00
ταχυκαρδια με ευρεα qrs,I47
ταχυκαρδιας,R00
τεθηκε holter ρυθμου,Z95
τεθηκε μονιμος βηματοδοτης,Z95
τεφανιαια νοσος,I25
τεχνητο νεφρο,Z99
τκμ,I48
τν,Z99
τοξικος δακτυλιδισμος,R00
τοποθετηθηκε εκ νεου βηματοδοτης,Z95
τοποθετηση crt d,Z95
τοποθετηση holter,Z95
τοποθετηση icd,Z95
τοποθετηση stent,Z95
τοποθετηση βηματοδοτη,Z95
τοποθετηση βηματοδοτη απινιδωτη,Z95
τοποθετηση καθετηρα,T83
τοποθετηση μονιμου βηματοδοτη,Z95
τοποθετηση μονιμου βηματοδοτη ddd,Z95
τοποθετηση του μονιμου βηματοδοτη,Z95
τοποθετησης βηματοδοτη,Z95
τριγλωχινα,I07
υγρα περικαρδιτιδα,I30
υλπδ,E78
υπαραχνοειδης αιμορραγια,I60
υπεξαερωση,R09
υπερεπειγον υπερτασικο επεισοδιο,I10
υπερθυρεοειδισμος,E05
υπερκαπνικη αναπνευστικη ανεπαρκεια,J96
υπερκοιλιακες εκτακτες,I49
υπερκοιλιακες και κοιλιακες εκτακτες,I49
υπερκοιλιακες και κοιλιακες εκτακτες συστολες,I49
υπερκοιλιακη ταχυκαρδια,I47
υπερκοιλιακη ταχυκαρδια κολπικη ταχυκαρδια,I47
υπερκοιλιακης ταχυκαρδιας,I47
υπερκοιλιακης ταχυκαρδιας.,I47
υπερκοιλιακων ταχυκαρδιων,I47
υπερλιπιδαιμια,E78
υπερλιποιδαιμια,E78
υπερταση,I10
υπερτασικη αιχμη,I10
υπερτασικη αιχμη 200 100 mmhg,I10
υπερτασικη αιχμης,I10
υπερτασικη καρδιοπαθεια,I11
υπερτασικη κριση,I10
υπερτασικη νοσος,I10|I11
υπερτασικης αιχμης,I10
υπερτασικης κρισης,I10
υπερτριγλυκαιριδαιμια,E78
υπερτριγλυκεριδαιμια,E78
υπερτροφικη αποφρακτικη μυοκαρδιοπαθεια,I42
υπερτροφικη μυοκαρδιοπαθεια,I42
υπερτροφικης μυοκαρδιοπαθειας χωρις εικονα αποφραξης,I42
υπετασικης αιχμης,I10
υπλ,E78
υπο αιμοκαθαρση,Z99
υπο προσωρινο βηματοδοτη,Z95
υποθ σμος,E03
υποθυρ σμος,E03
υποθυρεοειδισμος,E00|E03
υποθυρεοειδισμου,E03
υποθυρεοεισδισμος,E03
υποθυροειδισμος,E03
υποκλινικος υποθυρεοειδισμος,E03
υποξεια περικαρδιτιδα,I30
υποξυ εμφραγμα,I21
υποξυ εμφραγμα του μυοκαρδιου,I24
υποταση,I95
υποτασης,I95
υποτροπιαζουσα αιματουρια,N02
υψηλη θερμοκρασια 38 5οc,R50
υψηλης καρδιακης συχνοτητας,R00
υψηλου βαθμου κκ αποκλεισμος,I44
υψηλου βαθμου κολκοκοιλιακο αποκλεισμο,I44
υψηλου βαθμου κολποκοιλιακος αποκλεισμος,I44
φερει βηματοδοτη,Z95
φλεβικη ανεπαρκεια κατω ακρων,I80
φλεβοθρομβωση,I80
φλεβοκομβικη βραδυκαρδια,R00
φλεβοκομβικη ταχυκαρδια,R00
φλεβοκομβικης βραδυκαρδιας,R00
φλεβοκομβοκολπικο αποκλεισμο 2ου βαθμου,I44
φλεβοκομβοκολπικος αποκλεισμος 2ου βαθμου,I44
φλεβοκομβοκολπικος αποκλεισμος 2ου βαθμου mobitz ii,I44
φλεβοκομβοκολπικος αποκλεισμος 2ου βαθμου mobitz ιι,I44
φλεβοκομικη βραδυκαρδια,R00
χ θεν ανευρυσμα κοιλιακης αορτης,I71
χna,N18
χαλαρωμενη προθεση,T84
χαλαρωση ενδοπροθεσης,T84
χαμηλο κολπικο ρυθμο,R00
χαπ,J44
χκμ,I48
χμκ,I48
χνα,N18
χνα τελικου σταδιου,N18
χνα υπο αιμοκαθαρση,Z99
χνα υπο τ ν,N18
χνα υπο τν,N18|Z99
χνν,N18
χνν τελικου σταδιου,N18
χνν τελικου σταδιου gfr 15ml min,N18
χνν υπο τν,N18
χολοστατικη ηπατιτιδα,K71
χρονια af,I48
χρονια αναπνευστικη ανεπαρκεια τ. 2,J96
χρονια αποφρακτικη πνευμονοπαθεια,J44
χρονια αποφρακτικη πνευμονοπαθεια περιοριστικου τυπου,J44
χρονια βρογχιτιδα,J44
χρονια δυσπνοια,R06
χρονια ηπατιτιδα,K75
χρονια καρδιακη ανεπαρκεια,I50
χρονια κμ,I48
χρονια κολπικη μαρμαρυγη,I48
χρονια νεφρικη ανεπακεια,N18
χρονια νεφρικη ανεπαρκεια,N18
χρονια νεφρικη ανεπαρκεια σταδιου ιιι,N18
χρονια νεφρικη ανεπαρκεια τελικου σταδιου,N18
χρονια νεφρικη ανεπαρκεια υπο αιμοκαθαρση,N18
χρονια νεφρικη ανεπαρκεια υπο τεχνητο νεφρο,N18
χρονια νεφρικη νοσος,N18
χρονια νεφρικη νοσος σταδιου,N18
χρονιας κολπικης μαρμαρυγη,I48
χρονιας κολπικης μαρμαρυγης,I48
χρονιας νεφρικης ανεπαρκειας,N18
χρονιας νεφρικης νοσου,N18
χρονιο κολπικο πτερυγισμο,I48
χρονιου διαχωρισμου,I71
ψευδαρθρωση,M96
ψυχοσωματικες διαταραχες,F45
ψωριασικη αρθριτιδα,M30-M36
ως οξυ στεφανιαιο συνδρομο,I21
